"","year","happy","commute","realrinc","educ","race","gender"
"1",1986,1,60,21659,14,"White","Male"
"2",1986,1,35,6625,16,"White","Female"
"3",1986,1,30,9173,18,"White","Male"
"4",1986,0,55,4587,17,"White","Female"
"5",1986,1,15,9173,18,"White","Male"
"6",1986,1,45,14015,11,"Non White","Female"
"7",1986,1,60,21659,16,"White","Male"
"8",1986,1,70,5606,12,"White","Male"
"9",1986,1,25,28029,11,"White","Male"
"10",1986,1,2,11466,14,"White","Male"
"11",1986,0,30,21659,12,"White","Male"
"12",1986,1,20,24207,16,"White","Female"
"13",1986,1,60,14015,12,"White","Male"
"14",1986,1,25,28029,14,"Non White","Male"
"15",1986,1,30,7644,12,"Non White","Male"
"16",1986,1,5,16563,15,"White","Female"
"17",1986,0,20,45866,12,"White","Male"
"18",1986,1,15,33125,18,"White","Male"
"19",1986,1,15,14015,12,"White","Female"
"20",1986,1,60,45866,18,"White","Male"
"21",1986,1,10,56058,14,"White","Male"
"22",1986,1,40,19111,16,"White","Female"
"23",1986,1,15,24207,12,"White","Female"
"24",1986,1,10,2038,11,"White","Male"
"25",1986,0,2,21659,12,"Non White","Male"
"26",1986,1,5,2038,14,"White","Male"
"27",1986,1,35,3567,12,"White","Male"
"28",1986,1,15,45866,16,"White","Male"
"29",1986,1,20,21659,12,"White","Male"
"30",1986,1,20,16563,11,"White","Male"
"31",1986,1,30,28029,15,"White","Female"
"32",1986,0,3,11466,9,"White","Male"
"33",1986,1,45,19111,10,"White","Male"
"34",1986,1,20,33125,6,"White","Male"
"35",1986,1,97,45866,14,"White","Male"
"36",1986,1,8,4587,13,"White","Male"
"37",1986,1,25,16563,12,"Non White","Female"
"38",1986,1,20,45866,20,"Non White","Male"
"39",1986,1,20,7644,15,"Non White","Male"
"40",1986,1,45,16563,12,"Non White","Male"
"41",1986,1,60,21659,15,"Non White","Female"
"42",1986,0,40,19111,14,"Non White","Male"
"43",1986,0,20,21659,16,"White","Male"
"44",1986,1,45,28029,16,"White","Male"
"45",1986,1,5,7644,17,"White","Male"
"46",1986,1,30,11466,17,"White","Male"
"47",1986,1,5,38222,16,"White","Female"
"48",1986,1,10,28029,13,"White","Male"
"49",1986,1,30,45866,12,"White","Male"
